,Age,Sex,Credit amount,Duration,default
0,67,male,1169,6,good
1,22,female,5951,48,bad
2,49,male,2096,12,good
3,45,male,7882,42,good
4,53,male,4870,24,bad
5,35,male,9055,36,good
6,53,male,2835,24,good
7,35,male,6948,36,good
8,61,male,3059,12,good
9,28,male,5234,30,bad
10,25,female,1295,12,bad
11,24,female,4308,48,bad
12,22,female,1567,12,good
13,60,male,1199,24,bad
14,28,female,1403,15,good
15,32,female,1282,24,bad
16,53,male,2424,24,good
17,25,male,8072,30,good
18,44,female,12579,24,bad
19,31,male,3430,24,good
20,48,male,2134,9,good
21,44,male,2647,6,good
22,48,male,2241,10,good
23,44,male,1804,12,good
24,26,male,2069,10,good
25,36,male,1374,6,good
26,39,male,426,6,good
27,42,female,409,12,good
28,34,male,2415,7,good
29,63,male,6836,60,bad
30,36,male,1913,18,good
31,27,male,4020,24,good
32,30,male,5866,18,good
33,57,male,1264,12,good
34,33,female,1474,12,good
35,25,male,4746,45,bad
36,31,male,6110,48,good
37,37,male,2100,18,bad
38,37,male,1225,10,good
39,24,male,458,9,good
40,30,male,2333,30,good
41,26,male,1158,12,good
42,44,male,6204,18,good
43,24,male,6187,30,good
44,58,female,6143,48,bad
45,35,female,1393,11,good
46,39,male,2299,36,good
47,23,female,1352,6,good
48,39,male,7228,11,good
49,28,female,2073,12,good
50,29,male,2333,24,good
51,30,male,5965,27,good
52,25,male,1262,12,good
53,31,male,3378,18,good
54,57,male,2225,36,bad
55,26,male,783,6,good
56,52,male,6468,12,bad
57,31,female,9566,36,good
58,23,female,1961,18,good
59,23,female,6229,36,bad
60,27,male,1391,9,good
61,50,male,1537,15,good
62,61,male,1953,36,bad
63,25,male,14421,48,bad
64,26,female,3181,24,good
65,48,male,5190,27,good
66,29,female,2171,12,good
67,22,male,1007,12,good
68,37,male,1819,36,bad
69,25,female,2394,36,good
70,30,female,8133,36,good
71,46,male,730,7,good
72,51,male,1164,8,good
73,41,female,5954,42,good
74,40,male,1977,36,bad
75,66,male,1526,12,good
76,34,male,3965,42,bad
77,51,male,4771,11,good
78,39,male,9436,54,good
79,22,male,3832,30,good
80,44,female,5943,24,bad
81,47,male,1213,15,good
82,24,female,1568,18,good
83,58,female,1755,24,good
84,52,male,2315,10,good
85,29,female,1412,12,good
86,27,female,1295,18,good
87,47,male,12612,36,bad
88,30,male,2249,18,good
89,28,male,1108,12,bad
90,56,male,618,12,good
91,54,male,1409,12,good
92,33,female,797,12,bad
93,20,male,3617,24,good
94,54,male,1318,12,good
95,58,male,15945,54,bad
96,61,female,2012,12,good
97,34,male,2622,18,good
98,36,male,2337,36,good
99,36,male,7057,20,good
100,41,male,1469,24,good
101,24,male,2323,36,good
102,24,female,932,6,good
103,35,male,1919,9,good
104,26,male,2445,12,good
105,39,male,11938,24,bad
106,39,male,6458,18,bad
107,32,male,6078,12,good
108,30,female,7721,24,good
109,35,male,1410,14,good
110,31,male,1449,6,good
111,23,female,392,15,good
112,28,male,6260,18,good
113,25,female,7855,36,bad
114,35,male,1680,12,good
115,47,male,3578,48,good
116,30,female,7174,42,bad
117,27,female,2132,10,good
118,23,female,4281,33,bad
119,36,male,2366,12,good
120,25,female,1835,21,bad
121,41,female,3868,24,good
122,24,male,1768,12,good
123,63,male,781,10,good
124,27,female,1924,18,bad
125,30,male,2121,12,good
126,40,male,701,12,good
127,30,male,639,12,bad
128,34,male,1860,12,good
129,29,female,3499,12,bad
130,24,female,8487,48,good
131,29,male,6887,36,bad
132,27,male,2708,15,good
133,47,male,1984,18,good
134,21,female,10144,60,good
135,38,female,1240,12,good
136,27,male,8613,27,good
137,66,male,766,12,bad
138,35,male,2728,15,good
139,44,female,1881,12,good
140,27,male,709,6,good
141,30,female,4795,36,good
142,27,male,3416,27,good
143,22,male,2462,18,bad
144,23,female,2288,21,good
145,30,male,3566,48,good
146,39,female,860,6,good
147,51,female,682,12,good
148,28,male,5371,36,good
149,46,male,1582,18,good
150,42,male,1346,6,good
151,38,male,1924,10,good
152,24,male,5848,36,good
153,29,female,7758,24,good
154,36,male,6967,24,good
155,20,female,1282,12,bad
156,48,male,1288,9,good
157,45,male,339,12,good
158,38,male,3512,24,good
159,34,male,1898,6,good
160,36,male,2872,24,good
161,30,female,1055,18,good
162,36,male,1262,15,good
163,70,male,7308,10,good
164,36,male,909,36,good
165,32,male,2978,6,good
166,33,female,1131,18,bad
167,20,female,1577,11,good
168,25,female,3972,24,good
169,31,male,1935,24,bad
170,33,male,950,15,bad
171,26,female,763,12,good
172,34,female,2064,24,bad
173,33,male,1414,8,good
174,26,male,3414,21,bad
175,53,female,7485,30,bad
176,42,male,2577,12,good
177,52,male,338,6,good
178,31,male,1963,12,good
179,65,male,571,21,good
180,28,male,9572,36,bad
181,30,male,4455,36,bad
182,40,male,1647,21,bad
183,50,male,3777,24,good
184,36,male,884,18,bad
185,31,male,1360,15,good
186,74,female,5129,9,bad
187,68,male,1175,16,good
188,20,male,674,12,bad
189,33,female,3244,18,good
190,54,male,4591,24,bad
191,34,male,3844,48,bad
192,36,male,3915,27,bad
193,29,male,2108,6,good
194,21,male,3031,45,bad
195,34,female,1501,9,bad
196,28,female,1382,6,good
197,27,female,951,12,bad
198,36,male,2760,24,good
199,40,male,4297,18,bad
200,52,male,936,9,good
201,27,male,1168,12,good
202,26,male,5117,27,good
203,21,male,902,12,bad
204,38,male,1495,12,good
205,38,male,10623,30,good
206,43,male,1935,12,good
207,26,male,1424,12,good
208,21,male,6568,24,good
209,55,male,1413,12,good
210,33,male,3074,9,good
211,45,female,3835,36,good
212,50,male,5293,27,bad
213,66,male,1908,30,bad
214,51,male,3342,36,good
215,39,female,932,6,good
216,31,male,3104,18,good
217,23,male,3913,36,good
218,24,male,3021,24,good
219,64,female,1364,10,good
220,26,male,625,12,good
221,23,female,1200,12,good
222,30,male,707,12,good
223,32,male,2978,24,good
224,30,male,4657,15,good
225,27,male,2613,36,good
226,27,male,10961,48,bad
227,53,male,7865,12,bad
228,22,male,1478,9,bad
229,22,male,3149,24,good
230,26,male,4210,36,bad
231,51,male,2507,9,good
232,35,male,2141,12,good
233,25,male,866,18,good
234,42,male,1544,4,good
235,30,male,1823,24,bad
236,23,male,14555,6,bad
237,61,male,2767,21,bad
238,35,female,1291,12,good
239,39,male,2522,30,good
240,29,female,915,24,bad
241,51,male,1595,6,good
242,24,male,4605,48,bad
243,27,female,1185,12,good
244,35,female,3447,12,good
245,25,male,1258,24,good
246,52,male,717,12,good
247,35,male,1204,6,good
248,26,male,1925,24,good
249,22,female,433,18,bad
250,39,female,666,6,good
251,46,female,2251,12,good
252,24,female,2150,30,bad
253,35,male,4151,24,good
254,24,male,2030,9,good
255,27,male,7418,60,good
256,35,male,2684,24,good
257,29,male,2149,12,bad
258,23,female,3812,15,good
259,57,female,1154,11,good
260,27,male,1657,12,good
261,55,female,1603,24,good
262,36,male,5302,18,good
263,57,female,2748,12,good
264,32,male,1231,10,good
265,37,male,802,15,bad
266,36,male,6304,36,good
267,38,female,1533,24,good
268,45,male,8978,14,bad
269,25,male,999,24,good
270,32,male,2662,18,good
271,37,female,1402,12,good
272,36,male,12169,48,good
273,28,male,3060,48,bad
274,34,male,11998,30,bad
275,32,male,2697,9,good
276,26,female,2404,18,good
277,49,male,1262,12,good
278,32,female,4611,6,bad
279,29,male,1901,24,good
280,23,male,3368,15,good
281,50,male,1574,12,good
282,49,male,1445,18,good
283,63,male,1520,15,good
284,37,male,3878,24,good
285,35,female,10722,47,good
286,26,male,4788,48,good
287,31,male,7582,48,good
288,49,female,1092,12,good
289,48,male,1024,24,bad
290,26,male,1076,12,good
291,28,male,9398,36,bad
292,44,female,6419,24,good
293,56,male,4796,42,good
294,46,male,7629,48,good
295,26,female,9960,48,bad
296,20,female,4675,12,good
297,45,male,1287,10,good
298,43,male,2515,18,good
299,32,male,2745,21,good
300,54,female,672,6,good
301,42,female,3804,36,bad
302,37,male,1344,24,bad
303,49,male,1038,10,good
304,44,male,10127,48,bad
305,33,male,1543,6,good
306,24,female,4811,30,good
307,33,male,727,12,bad
308,24,female,1237,8,bad
309,22,male,276,9,good
310,40,male,5381,48,good
311,25,male,5511,24,good
312,26,female,3749,24,good
313,25,male,685,12,bad
314,29,male,1494,4,good
315,31,male,2746,36,bad
316,38,male,708,12,good
317,48,female,4351,24,good
318,32,male,701,12,good
319,27,female,3643,15,good
320,28,male,4249,30,bad
321,32,male,1938,24,bad
322,34,male,2910,24,good
323,28,male,2659,18,good
324,36,female,1028,18,good
325,39,male,3398,8,good
326,49,male,5801,12,good
327,34,female,1525,24,good
328,31,male,4473,36,good
329,28,male,1068,6,good
330,75,male,6615,24,good
331,30,female,1864,18,bad
332,24,female,7408,60,bad
333,24,female,11590,48,bad
334,23,male,4110,24,bad
335,44,male,3384,6,bad
336,23,female,2101,13,good
337,24,female,1275,15,bad
338,28,male,4169,24,good
339,31,male,1521,10,good
340,24,female,5743,24,good
341,26,female,3599,21,good
342,25,male,3213,18,good
343,33,male,4439,18,good
344,37,male,3949,10,good
345,43,female,1459,15,good
346,23,male,882,13,good
347,23,female,3758,24,good
348,34,male,1743,6,good
349,32,male,1136,9,bad
350,23,female,1236,9,good
351,29,female,959,9,bad
352,38,male,3229,18,good
353,28,male,6199,12,bad
354,46,male,727,10,good
355,23,male,1246,24,bad
356,49,male,2331,12,good
357,26,male,4463,36,bad
358,28,male,776,12,good
359,23,female,2406,30,bad
360,61,male,1239,18,good
361,37,male,3399,12,good
362,36,female,2247,12,good
363,21,male,1766,6,good
364,25,male,2473,18,bad
365,36,male,1542,12,good
366,27,male,3850,18,good
367,22,female,3650,18,good
368,42,male,3446,36,bad
369,40,female,3001,18,good
370,36,male,3079,36,good
371,33,male,6070,18,good
372,23,female,2146,10,good
373,63,male,13756,60,good
374,60,female,14782,60,bad
375,37,female,7685,48,bad
376,34,male,2320,18,good
377,36,male,846,7,good
378,57,male,14318,36,bad
379,52,female,362,6,good
380,39,male,2212,20,good
381,38,female,12976,18,bad
382,25,female,1283,22,good
383,26,male,1330,12,good
384,26,male,4272,30,good
385,25,female,2238,18,good
386,21,female,1126,18,good
387,40,male,7374,18,good
388,27,male,2326,15,good
389,27,female,1449,9,good
390,30,male,1820,18,good
391,19,female,983,12,good
392,39,male,3249,36,good
393,31,female,1957,6,good
394,31,male,2406,9,good
395,32,male,11760,39,good
396,55,female,2578,12,good
397,46,male,2348,36,good
398,46,male,1223,12,bad
399,43,female,1516,24,good
400,39,male,1473,18,good
401,28,male,1887,18,good
402,27,male,8648,24,bad
403,27,male,802,14,good
404,43,male,2899,18,good
405,22,male,2039,24,bad
406,43,male,2197,24,good
407,27,male,1053,15,good
408,26,male,3235,24,good
409,28,male,939,12,bad
410,20,female,1967,24,good
411,35,male,7253,33,good
412,42,male,2292,12,bad
413,40,male,1597,10,good
414,35,female,1381,24,bad
415,35,male,5842,36,good
416,33,male,2579,12,bad
417,23,female,8471,18,good
418,31,female,2782,21,good
419,33,female,1042,18,bad
420,20,female,3186,15,good
421,30,male,2028,12,good
422,47,male,958,12,good
423,34,male,1591,21,good
424,25,female,2762,12,bad
425,21,male,2779,18,good
426,29,male,2743,28,good
427,46,male,1149,18,good
428,20,male,1313,9,good
429,55,female,1190,18,bad
430,74,male,3448,5,good
431,29,male,11328,24,bad
432,36,male,1872,6,good
433,33,male,2058,24,good
434,25,male,2136,9,good
435,25,male,1484,12,bad
436,23,male,660,6,good
437,37,female,1287,24,good
438,65,male,3394,42,good
439,26,female,609,12,bad
440,39,male,1884,12,good
441,30,female,1620,12,good
442,29,male,2629,20,good
443,41,male,719,12,bad
444,30,female,5096,48,bad
445,41,female,1244,9,good
446,34,female,1842,36,bad
447,35,male,2576,7,good
448,55,female,1424,12,good
449,61,male,1512,15,bad
450,30,male,11054,36,good
451,29,female,518,6,good
452,34,male,2759,12,good
453,35,male,2670,24,good
454,31,male,4817,24,bad
455,29,female,2679,24,good
456,36,male,3905,11,good
457,35,male,3386,12,bad
458,27,female,343,6,good
459,32,male,4594,18,good
460,37,male,3620,36,good
461,36,male,1721,15,good
462,34,female,3017,12,good
463,38,male,754,12,good
464,34,male,1950,18,good
465,63,male,2924,24,good
466,29,female,1659,24,bad
467,32,male,7238,48,good
468,26,female,2764,33,good
469,35,male,4679,24,good
470,22,male,3092,24,bad
471,23,female,448,6,bad
472,28,male,654,9,bad
473,36,male,1238,6,good
474,33,male,1245,18,bad
475,26,female,3114,18,bad
476,24,male,2569,39,good
477,25,male,5152,24,good
478,39,male,1037,12,good
479,44,male,1478,15,good
480,23,female,3573,12,good
481,26,male,1201,24,good
482,57,female,3622,30,good
483,30,female,960,15,good
484,44,male,1163,12,good
485,47,male,1209,6,bad
486,52,male,3077,12,good
487,62,female,3757,24,good
488,35,male,1418,10,good
489,26,male,3518,6,good
490,26,male,1934,12,good
491,42,female,8318,27,bad
492,27,female,1237,6,good
493,38,male,368,6,good
494,39,male,2122,12,good
495,20,male,2996,24,bad
496,29,male,9034,36,bad
497,40,male,1585,24,good
498,32,male,1301,18,good
499,28,male,1323,6,good
500,27,female,3123,24,bad
501,42,male,5493,36,good
502,49,male,1126,9,good
503,38,male,1216,24,bad
504,24,female,1207,24,bad
505,27,male,1309,10,bad
506,36,male,2360,15,good
507,34,male,6850,15,bad
508,28,male,1413,24,good
509,45,male,8588,39,good
510,26,male,759,12,bad
511,32,male,4686,36,good
512,26,male,2687,15,good
513,20,male,585,12,good
514,54,male,2255,24,good
515,37,female,609,6,good
516,40,male,1361,6,good
517,23,female,7127,36,bad
518,43,male,1203,6,good
519,36,male,700,6,good
520,44,male,5507,24,good
521,24,female,3190,18,bad
522,53,male,7119,48,bad
523,23,female,3488,24,good
524,26,female,1113,18,good
525,30,male,7966,26,good
526,31,female,1532,15,good
527,42,male,1503,4,good
528,31,male,2302,36,bad
529,41,male,662,6,good
530,32,male,2273,36,good
531,28,female,2631,15,bad
532,41,male,1503,12,good
533,26,male,1311,24,good
534,25,male,3105,24,good
535,33,male,2319,21,bad
536,75,female,1374,6,good
537,37,female,3612,18,good
538,42,male,7763,48,bad
539,45,female,3049,18,good
540,23,male,1534,12,bad
541,60,male,2032,24,good
542,31,male,6350,30,bad
543,34,male,2864,18,bad
544,61,male,1255,12,good
545,43,male,1333,24,bad
546,37,female,2022,24,good
547,32,male,1552,24,good
548,24,female,626,12,bad
549,35,male,8858,48,good
550,23,female,996,12,good
551,45,male,1750,6,good
552,34,male,6999,48,bad
553,27,male,1995,12,good
554,67,female,1199,9,good
555,22,male,1331,12,bad
556,28,female,2278,18,bad
557,29,female,5003,21,bad
558,27,male,3552,24,bad
559,31,male,1928,18,bad
560,49,male,2964,24,good
561,24,male,1546,24,bad
562,29,female,683,6,good
563,37,male,12389,36,bad
564,37,male,4712,24,good
565,23,female,1553,24,good
566,36,male,1372,12,bad
567,34,male,2578,24,good
568,41,male,3979,48,good
569,31,female,6758,48,bad
570,23,female,3234,24,bad
571,38,male,5954,30,good
572,26,female,5433,24,good
573,22,female,806,15,good
574,27,male,1082,9,good
575,24,female,2788,15,good
576,27,female,2930,12,good
577,33,female,1927,24,good
578,27,male,2820,36,bad
579,27,male,937,24,good
580,30,male,1056,18,bad
581,49,male,3124,12,good
582,26,female,1388,9,good
583,33,male,2384,36,bad
584,52,female,2133,12,good
585,20,female,2039,18,bad
586,36,male,2799,9,good
587,21,male,1289,12,good
588,47,male,1217,18,bad
589,60,male,2246,12,bad
590,58,female,385,12,good
591,42,female,1965,24,good
592,36,female,1572,21,good
593,20,female,2718,24,bad
594,40,male,1358,24,bad
595,32,female,931,6,bad
596,23,female,1442,24,bad
597,36,male,4241,24,bad
598,31,male,2775,18,bad
599,32,male,3863,24,good
600,45,female,2329,7,good
601,30,female,918,9,bad
602,34,female,1837,24,bad
603,28,female,3349,36,bad
604,23,female,1275,10,good
605,22,male,2828,24,good
606,74,male,4526,24,good
607,50,female,2671,36,bad
608,33,male,2051,18,good
609,45,male,1300,15,good
610,22,female,741,12,bad
611,48,female,1240,10,bad
612,29,female,3357,21,good
613,22,female,3632,24,good
614,22,female,1808,18,bad
615,48,male,12204,48,good
616,27,male,9157,60,good
617,37,male,3676,6,good
618,21,female,3441,30,bad
619,49,male,640,12,good
620,27,male,3652,21,good
621,32,male,1530,18,bad
622,38,male,3914,48,bad
623,22,female,1858,12,good
624,65,male,2600,18,bad
625,35,male,1979,15,good
626,41,male,2116,6,good
627,29,male,1437,9,bad
628,36,male,4042,42,good
629,64,male,3832,9,good
630,28,female,3660,24,good
631,44,male,1553,18,bad
632,23,male,1444,15,good
633,19,female,1980,9,bad
634,25,female,1355,24,bad
635,47,male,1393,12,good
636,28,female,1376,24,good
637,21,male,15653,60,good
638,34,female,1493,12,good
639,26,male,4370,42,bad
640,27,female,750,18,bad
641,38,male,1308,15,good
642,40,male,4623,15,bad
643,33,male,1851,24,good
644,32,male,1880,18,good
645,27,male,7980,36,bad
646,32,male,4583,30,good
647,26,female,1386,12,bad
648,38,male,947,24,bad
649,40,male,684,12,bad
650,50,male,7476,48,good
651,37,male,1922,12,bad
652,45,male,2303,24,bad
653,42,male,8086,36,bad
654,35,male,2346,24,good
655,22,male,3973,14,good
656,41,male,888,12,bad
657,37,male,10222,48,good
658,28,female,4221,30,good
659,41,male,6361,18,good
660,23,male,1297,12,good
661,23,male,900,12,bad
662,50,male,2241,21,good
663,35,male,1050,6,good
664,50,female,1047,6,good
665,27,male,6314,24,good
666,34,male,3496,30,good
667,27,female,3609,48,good
668,43,male,4843,12,bad
669,47,male,3017,30,good
670,27,male,4139,24,good
671,31,male,5742,36,good
672,42,male,10366,60,good
673,24,male,2080,6,good
674,41,male,2580,21,bad
675,26,female,4530,30,good
676,33,male,5150,24,good
677,24,male,5595,72,bad
678,64,male,2384,24,good
679,26,female,1453,18,good
680,56,female,1538,6,good
681,37,male,2279,12,good
682,33,male,1478,15,good
683,47,male,5103,24,good
684,31,male,9857,36,good
685,34,male,6527,60,good
686,27,male,1347,10,good
687,30,male,2862,36,good
688,35,male,2753,9,good
689,31,male,3651,12,good
690,25,male,975,15,good
691,25,female,2631,15,good
692,29,male,2896,24,good
693,44,male,4716,6,good
694,28,male,2284,24,good
695,50,male,1236,6,good
696,29,male,1103,12,good
697,38,female,926,12,good
698,24,male,1800,18,good
699,40,male,1905,15,good
700,29,female,1123,12,bad
701,46,male,6331,48,bad
702,47,female,1377,24,good
703,41,male,2503,30,good
704,32,female,2528,27,good
705,35,female,5324,15,good
706,24,male,6560,48,bad
707,25,female,2969,12,bad
708,25,female,1206,9,good
709,37,male,2118,9,good
710,32,male,629,18,good
711,35,female,1198,6,bad
712,46,male,2476,21,good
713,25,male,1138,9,good
714,27,male,14027,60,bad
715,63,male,7596,30,good
716,40,male,3077,30,good
717,32,male,1505,18,good
718,31,male,3148,24,good
719,31,male,6148,20,good
720,34,male,1337,9,bad
721,24,female,433,6,bad
722,24,female,1228,12,bad
723,66,female,790,9,good
724,21,female,2570,27,bad
725,41,female,250,6,good
726,47,male,1316,15,good
727,25,female,1882,18,bad
728,59,female,6416,48,bad
729,36,male,1275,24,good
730,33,male,6403,24,good
731,21,male,1987,24,bad
732,44,female,760,8,good
733,28,female,2603,24,good
734,37,female,3380,4,good
735,29,female,3990,36,good
736,23,female,11560,24,bad
737,35,male,4380,18,good
738,45,male,6761,6,good
739,26,female,4280,30,bad
740,32,male,2325,24,good
741,23,male,1048,10,good
742,41,male,3160,21,good
743,22,male,2483,24,good
744,30,male,14179,39,good
745,28,male,1797,13,good
746,23,female,2511,15,good
747,37,female,1274,12,bad
748,26,male,5248,21,good
749,33,male,3029,15,good
750,49,female,428,6,good
751,23,female,976,18,bad
752,23,female,841,12,good
753,25,female,5771,30,good
754,55,male,1555,12,bad
755,32,female,1285,24,bad
756,74,male,1299,6,good
757,39,male,1271,15,bad
758,31,male,1393,24,good
759,35,male,691,12,bad
760,59,female,5045,15,good
761,24,female,2124,18,bad
762,24,male,2214,12,good
763,30,male,12680,21,bad
764,27,male,2463,24,good
765,40,male,1155,12,good
766,31,male,3108,30,bad
767,31,female,2901,10,good
768,28,male,3617,12,good
769,63,male,1655,12,good
770,26,female,2812,24,good
771,25,female,8065,36,bad
772,36,male,3275,21,good
773,52,male,2223,24,good
774,66,male,1480,12,good
775,25,female,1371,24,bad
776,37,male,3535,36,good
777,25,female,3509,18,good
778,38,male,5711,36,good
779,67,female,3872,18,good
780,25,male,4933,39,bad
781,60,male,1940,24,good
782,31,male,1410,12,good
783,23,female,836,12,bad
784,60,male,6468,20,good
785,35,male,1941,18,good
786,40,male,2675,22,good
787,38,male,2751,48,good
788,50,male,6224,48,bad
789,27,male,5998,40,bad
790,39,female,1188,21,bad
791,41,male,6313,24,good
792,27,male,1221,6,good
793,51,male,2892,24,good
794,32,male,3062,24,good
795,22,female,2301,9,good
796,51,male,7511,18,bad
797,22,female,1258,12,good
798,54,male,717,24,good
799,35,male,1549,9,good
800,54,male,1597,24,good
801,48,female,1795,18,good
802,24,female,4272,20,good
803,35,male,976,12,good
804,24,female,7472,12,good
805,24,male,9271,36,bad
806,26,male,590,6,good
807,65,male,930,12,good
808,55,male,9283,42,good
809,26,female,1778,15,bad
810,26,male,907,8,good
811,28,male,484,6,good
812,24,male,9629,36,bad
813,54,male,3051,48,bad
814,46,male,3931,48,bad
815,54,female,7432,36,good
816,62,male,1338,6,good
817,24,female,1554,6,good
818,43,male,15857,36,good
819,26,male,1345,18,bad
820,27,male,1101,12,good
821,24,male,3016,12,good
822,41,male,2712,36,bad
823,47,male,731,8,good
824,35,male,3780,18,good
825,30,male,1602,21,good
826,33,female,3966,18,bad
827,36,male,4165,18,bad
828,47,male,8335,36,bad
829,38,male,6681,48,good
830,44,male,2375,24,good
831,23,female,1216,18,bad
832,29,male,11816,45,bad
833,42,female,5084,24,good
834,25,female,2327,15,bad
835,48,male,1082,12,bad
836,21,female,886,12,good
837,23,female,601,4,good
838,63,male,2957,24,good
839,46,male,2611,24,good
840,29,male,5179,36,bad
841,28,male,2993,21,good
842,23,female,1943,18,bad
843,50,male,1559,24,good
844,47,male,3422,18,good
845,35,male,3976,21,good
846,68,male,6761,18,bad
847,28,male,1249,24,good
848,59,male,1364,9,good
849,57,male,709,12,bad
850,33,male,2235,20,bad
851,43,male,4042,24,good
852,35,male,1471,15,good
853,32,male,1442,18,bad
854,45,male,10875,36,good
855,33,male,1474,24,good
856,40,female,894,10,good
857,28,male,3343,15,good
858,29,female,3959,15,bad
859,26,male,3577,9,good
860,27,male,5804,24,good
861,28,male,2169,18,bad
862,35,female,2439,24,bad
863,32,male,4526,27,good
864,25,male,2210,10,bad
865,20,female,2221,15,good
866,27,female,2389,18,good
867,42,male,3331,12,good
868,37,male,7409,36,good
869,24,female,652,12,good
870,40,female,7678,36,good
871,46,male,1343,6,good
872,26,male,1382,24,good
873,24,female,874,15,good
874,29,male,3590,12,good
875,40,female,1322,11,good
876,36,male,1940,18,good
877,28,male,3595,36,good
878,27,male,1422,9,bad
879,36,male,6742,30,good
880,38,male,7814,24,good
881,48,male,9277,24,good
882,36,male,2181,30,good
883,65,female,1098,18,good
884,43,male,4057,24,bad
885,53,female,795,12,bad
886,34,male,2825,24,good
887,23,male,15672,48,bad
888,34,male,6614,36,good
889,40,male,7824,28,good
890,43,male,2442,27,good
891,46,male,1829,15,good
892,38,male,2171,12,good
893,34,male,5800,36,good
894,29,male,1169,18,good
895,31,male,8947,36,good
896,28,female,2606,21,good
897,35,female,1592,12,good
898,33,female,2186,15,good
899,42,male,4153,18,bad
900,43,male,2625,16,bad
901,44,male,3485,20,good
902,42,male,10477,36,good
903,40,male,1386,15,good
904,36,male,1278,24,good
905,20,male,1107,12,good
906,24,male,3763,21,good
907,27,male,3711,36,good
908,46,female,3594,15,good
909,33,female,3195,9,good
910,34,female,4454,36,good
911,25,female,4736,24,bad
912,25,female,2991,30,good
913,28,male,2142,11,good
914,31,male,3161,24,bad
915,32,female,18424,48,bad
916,32,male,2848,10,good
917,68,male,14896,6,bad
918,33,male,2359,24,bad
919,39,male,3345,24,bad
920,28,female,1817,18,good
921,37,male,12749,48,good
922,22,female,1366,9,bad
923,30,male,2002,12,good
924,55,male,6872,24,bad
925,46,male,697,12,bad
926,21,female,1049,18,good
927,39,male,10297,48,bad
928,58,male,1867,30,good
929,43,male,1344,12,good
930,24,male,1747,24,good
931,22,female,1670,9,bad
932,30,male,1224,9,good
933,42,male,522,12,good
934,23,female,1498,12,good
935,30,male,1919,30,bad
936,28,female,745,9,bad
937,30,male,2063,6,good
938,42,male,6288,60,bad
939,46,male,6842,24,good
940,45,male,3527,12,good
941,31,male,1546,10,good
942,31,male,929,24,good
943,42,male,1455,4,good
944,46,female,1845,15,good
945,30,female,8358,48,good
946,30,male,3349,24,bad
947,38,male,2859,12,good
948,43,male,1533,18,bad
949,31,male,3621,24,bad
950,40,male,3590,18,good
951,24,male,2145,36,bad
952,28,female,4113,24,bad
953,26,female,10974,36,bad
954,29,female,1893,12,good
955,57,female,1231,24,good
956,49,male,3656,30,good
957,37,male,1154,9,good
958,45,male,4006,28,bad
959,30,male,3069,24,good
960,30,male,1740,6,good
961,47,male,2353,21,good
962,29,male,3556,15,good
963,35,male,2397,24,bad
964,22,male,454,6,good
965,26,female,1715,30,good
966,23,male,2520,27,bad
967,54,female,3568,15,good
968,29,male,7166,42,good
969,40,male,3939,11,good
970,22,male,1514,15,good
971,43,male,7393,24,good
972,29,female,1193,24,bad
973,36,male,7297,60,bad
974,33,female,2831,30,good
975,57,female,1258,24,good
976,64,female,753,6,good
977,42,male,2427,18,good
978,47,male,2538,24,bad
979,25,male,1264,15,bad
980,49,male,8386,30,bad
981,33,male,4844,48,bad
982,28,female,2923,21,good
983,26,male,8229,36,bad
984,30,male,2028,24,good
985,25,female,1433,15,good
986,33,male,6289,42,good
987,64,female,1409,13,good
988,29,male,6579,24,good
989,48,male,1743,24,good
990,37,male,3565,12,good
991,34,male,1569,15,good
992,23,male,1936,18,good
993,30,male,3959,36,good
994,50,male,2390,12,good
995,31,female,1736,12,good
996,40,male,3857,30,good
997,38,male,804,12,good
998,23,male,1845,45,bad
999,27,male,4576,45,good
